구,한국인,외국인,외국인 비율(%)
종로구,152212.0,141060.0,7.3
중구,131390.0,120963.0,7.9
용산구,232482.0,217756.0,6.3
광진구,350925.0,336801.0,4.0
동대문구,354884.0,337574.0,4.9
서대문구,321966.0,308437.0,4.2
구로구,417983.0,395183.0,5.5
금천구,242467.0,229307.0,5.4
영등포구,398999.0,376614.0,5.6
